url,title,property type,property_size(Sq Ft),price(BDT),service_charge(BDT),bedrooms,bathrooms,parking,lift,floor,interior_style,year built,building registration type,preferred tennant,garage(Sq Ft),front_road(Sq Ft),common_area(Sq Ft),city_area,district,zip_code,country
https://rents.com.bd/property/brand-new-2300-sq-ft-apartment-now-vacant-for-rent-in-banani-2/,Brand New 2300 SQ FT Apartment Now Vacant For Rent In Banani,Residential Apartment,2300.0,135000,10500,03,03,01,2.0,8th Floor,Un-Furnished,2022.0, Residential, Foreigner,120,16,180,Banani,Dhaka,1213,Bangladesh
https://rents.com.bd/property/14500-sq-ft-individual-house-is-available-for-rent-at-gulshan/,14500 Sq. Ft. Individual House Is Available For Rent At Gulshan,Commercial Space,14500.0,900000,,,,06,1.0,Full Building,Un-Furnished,2005.0, Residential,Corporate Office or MNC Office,720,30,1350,Gulshan,Dhaka,1212,Bangladesh
https://rents.com.bd/property/brand-new-2400-sq-ft-apartment-now-vacant-for-rent-in-banani-2/,Brand New 2400 SQ FT Apartment Now Vacant For Rent In Banani,Residential Apartment,2400.0,110000,,03,03,01,1.0,3rd & 5th Floor Available,Un-Furnished,2023.0, Residential, Foreigner,120,16,220,Banani,Dhaka,1213,Bangladesh
https://rents.com.bd/property/3600-sq-ft-nice-office-space-is-up-for-rent-at-banani/,3600 Sq Ft Nice Office Space Is Up For Rent At Banani,Commercial Space,3600.0,260000,20000,,,02,1.0,Ground floor,Un-Furnished,2000.0, Residential,Corporate Office or MNC Office,240,40,250,Banani,Dhaka,1213,Bangladesh
https://rents.com.bd/property/uniquely-designed-2100-sq-ft-flat-is-up-for-rent-in-gulshan/,Uniquely Designed 2100 Sq Ft Flat Is Up For Rent In Gulshan,Residential Apartment,2100.0,110000,7000,03,03,01,2.0,5th Floor Available,Un-Furnished,2012.0, Residential, Foreigner,120,16,180,Gulshan,Dhaka,1212,Bangladesh
https://rents.com.bd/property/brand-new-lovely-apartment-of-2430-sq-ft-is-up-for-rent-in-banani/,Brand New Lovely Apartment Of 2430 Sq Ft Is Up For Rent In Banani,Residential Apartment,2430.0,130000,10000,03,03,01,2.0,7th Floor Available,Un-Furnished,2023.0, Residential, Foreigner,120,16,180,Banani,Dhaka,1213,Bangladesh
https://rents.com.bd/property/2900-sq-ft-brand-new-apartment-is-vacant-for-rent-in-gulshan/,2900 SQ FT Brand New Apartment Is Vacant For Rent In Gulshan,Residential Apartment,2900.0,180000,15000,03,04,02,2.0,11th Floor,Un-Furnished,2023.0, Residential, Foreigner,240,24,250,Gulshan,Dhaka,1212,Bangladesh
https://rents.com.bd/property/spaciously-designed-and-strongly-structured-this-4888-sq-ft-commercial-space-now-vacant-for-rent-in-gulshan-avenue/,Spaciously Designed And Strongly Structured This 4888 Sq. Ft Commercial Space Now Vacant For Rent In Gulshan Avenue,Commercial Space,4888.0,782080,48880,,,02,3.0,3rd  floor,Un-Furnished,2018.0, Commercial,Corporate Office or MNC Office,240,50,250,Gulshan,Dhaka,1212,Bangladesh
https://rents.com.bd/property/excellent-brand-new-commercial-space-of-28000-sq-ft-is-up-for-rent-in-the-fine-location-of-gulshan-avenue/,Excellent Brand New Commercial Space Of 28000 Sq Ft Is Up For Rent In The Fine Location Of Gulshan Avenue,Commercial Space,28000.0,4480000,280000,,,38,3.0,"9th, 10th, 11th, 12th, 13th, 14th & 15th floor (per floor 4000 Sq Ft).",Un-Furnished,2022.0, Commercial, Corporate Office or MNC Offices,4560,50,2700,Gulshan Avenue,Dhaka,1212,Bangladesh
https://rents.com.bd/property/well-built-and-properly-designed-individual-house-of-5000-sq-ft-available-now-for-rent-in-baridhara-diplomatic-zone/,Well Built And Properly Designed Individual House of 5000 SQ FT Available Now For Rent In Baridhara Diplomatic Zone,Residential Apartment,5000.0,450000,,05,05,03,,Individual House,Un-Furnished,1990.0, Residential, Foreigner,360,24,450,Baridhara Diplomatic Zone,Dhaka,1212,Bangladesh
https://rents.com.bd/property/spaciously-designed-and-strongly-structured-this-13500-sq-ft-commercial-space-now-vacant-for-rent-in-gulshan-avenue/,Spaciously Designed And Strongly Structured This 13500 Sq. Ft. Commercial Space Now Vacant For Rent In Gulshan Avenue,Commercial Space,13500.0,2025000,135000,,,06,2.0,4th & 6th floor,Un-Furnished,2010.0, Commercial,Corporate Office or MNC Office,720,60,1450,Gulshan,Dhaka,1212,Bangladesh
https://rents.com.bd/property/2200-sq-ft-restaurent-space-available-for-rent/,2200 Sq Ft Restaurent space Available for rent,Commercial Space,,,,,,,,,,,,,nan,,,Banani,Dhaka,1230,Bangladesh
https://rents.com.bd/property/a-modern-well-planned-flat-of-5200-sq-ft-is-up-for-rent-is-situated-in-baridhara-diplomatic-zone/,A Modern Well-planned Flat Of 5200 Sq Ft Is Up For Rent Is Situated In Baridhara Diplomatic Zone,Residential Apartment,5200.0,360000,,04,05,02,1.0,2nd floor,Semi-Furnished,2014.0, Residential, Foreigner,240,24,350,Baridhara Diplomatic Zone,Dhaka,1212,Bangladesh
