url,title,property type,property size,parking,lift,floor,price,service_charge,year built,building registration type,preferred tennant,interior,garage size,front road size,common area,bedrooms,bathrooms,location,country
https://rents.com.bd/property/uniquely-designed-2485-sq-ft-office-space-is-up-for-rent-in-banani/,Uniquely Designed 2485 Sq Ft Office Space Is Up For Rent In Banani,Office Space,2485 Sq. Ft.,01 Car Parking,01,5th floor," BDT 120,000/-","BDT 10,000/-",2003, Residential,Corporate Office or MNC Office,Semi-Furnished,120 Sq Ft., 30 Ft.,180 Sq Ft,,,"Banani, Dhaka 1213",Bangladesh
https://rents.com.bd/property/well-planned-brand-new-office-space-of-4200-sq-ft-is-up-for-rent-in-gulshan/,Well-planned Brand New Office Space Of 4200 Sq Ft Is Up For Rent In Gulshan,Office Space,4200 Sq Ft,02 Car Parking,02,5th floor," BDT 420,000/- (BDT 100/- Per Sq. Ft.)",At Actual.,2023, Residential, Foreigner,Un-Furnished,240 Sq Ft, 40 Ft, 250 Sq Ft,,,"Gulshan, Dhaka",Bangladesh
https://rents.com.bd/property/800-sq-ft-nice-office-space-is-up-for-rent-in-gulshan/,800 Sq. Ft. Nice Office Space Is Up For Rent In Gulshan,Office Space,800 Sq Ft,N/A,01,Ground floor," BDT 80,000/-",Including with rent,2012, Residential, Foreigner,Un-Furnished,120 Sq Ft, 30 Ft, 100 Sq Ft,,,"Gulshan, Dhaka-1212",Bangladesh
https://rents.com.bd/property/stunning-views-with-quality-finishing-a-2200-sq-ft-fully-furnished-apartment-is-up-for-rent-in-banani/,Stunning Views With Quality Finishing A 2200 Sq Ft Fully-Furnished Apartment Is Up For Rent In Banani,"Furnished Apartment For Rent In Dhaka, Residential",2200 Sq Ft,01,02,3rd Floor Available,"BDT 150,000/-"," BDT 9,000/-",2010, Residential, Foreigner, Fully-Furnished,120 Sq. Ft.,24 Ft.,180 Sq Ft.,03 Bedrooms,03 Bathrooms,"Banani, Dhaka 1213",Bangladesh
https://rents.com.bd/property/a-modern-well-planned-office-space-of-2600-sq-ft-is-up-for-rent-in-gulshan/,A Modern Well-planned Office Space Of 2600 Sq Ft Is Up For Rent In Gulshan,Office Space,2600 Sq Ft,01 car parking,01,Ground floor," BDT 150,000/-","BDT 10,000/-",2015, Residential, Foreigner,Un-Furnished,120 Sq Ft, 30 Ft, 180 Sq Ft,,,"Gulshan, Dhaka-1212",Bangladesh
https://rents.com.bd/property/uniquely-designed-2300-sq-ft-fully-furnished-flat-is-up-for-rent-in-banani/,Uniquely Designed 2300 Sq Ft Fully-Furnished Flat Is Up For Rent In Banani,Furnished Apartment For Rent In Dhaka,2300 Sq Ft,01 car parking,02,13th Floor,"BDT 150,000/-", BDT 9000/-,2010, Residential, Foreigner, Fully-Furnished,120 Sq. Ft.,16 Ft.,180 Sq Ft.,03 Bedrooms,03 Bathrooms,"Banani, Dhaka 1213",Bangladesh
https://rents.com.bd/property/a-modern-well-planned-fully-furnished-apartment-of-2300-sq-ft-is-up-for-rent-in-gulshan/,A Modern Well-planned Fully-Furnished Apartment Of 2300 Sq Ft Is Up For Rent In Gulshan,Furnished Apartment For Rent In Dhaka,2300 Sq Ft,01 car parking,02,5th Floor,"BDT 130,000/-", Including with monthly rent.,2015, Residential, Foreigner, Fully-Furnished,120 Sq. Ft.,24 Ft.,180 Sq Ft.,03 Bedrooms,04 Bathrooms,"Gulshan, Dhaka 1212",Bangladesh
https://rents.com.bd/property/wonderful-fully-furnished-flat-covering-an-area-of-2200-sq-ft-is-available-for-rent-in-gulshan/,Wonderful Fully-Furnished Flat Covering An Area Of 2200 Sq Ft Is Available For Rent In Gulshan,Furnished Apartment For Rent In Dhaka,2200 Sq Ft,01 car parking,01,3rd Floor,"BDT 150,000/-"," BDT 13,000/-",2012, Residential, Foreigner, Fully-Furnished,120 Sq. Ft.,16 Ft.,180 Sq Ft.,03 Bedrooms,03 Bathrooms,"Gulshan, Dhaka 1212",Bangladesh
https://rents.com.bd/property/spaciously-designed-and-strongly-structured-this-5200-sq-ft-restaurant-space-now-vacant-for-rent-in-gulshan-avenue/,Spaciously Designed And Strongly Structured This 5200 Sq. Ft Restaurant Space Now Vacant For Rent In Gulshan Avenue,Restaurants Space,5200 Sq Ft.,02 Car Parking,03,Ground  floor," BDT 15,60,000/- (BDT 300/- Per Sq. Ft.)","BDT 52,000/- (BDT 10/- Per Sq. Ft.)",2018, Commercial,Corporate Office or MNC Office,Un-Furnished,240 Sq. Ft., 50 Ft.,280 Sq Ft,,,"Gulshan, Dhaka 1212",Bangladesh
https://rents.com.bd/property/spaciously-designed-and-strongly-structured-this-6000-sq-ft-commercial-space-now-vacant-for-rent-in-banani/,Spaciously Designed And Strongly Structured This 6000 Sq. Ft Commercial Space Now Vacant For Rent In Banani,Commercial space rent in Dhaka | 225+ Spaces for Rent with Best Price,6000 Sq Ft.,03 Car Parking,02,6th floor," BDT 720,000/- (BDT 120/- Per Sq. Ft.)",Including with rent,2016, Commercial,Corporate Office or MNC Office,Un-Furnished,360 Sq. Ft., 50 Ft.,450 Sq Ft,,,"Banani, Dhaka 1213",Bangladesh
